0	0	0	40	70
0	40	0	80	70
0	80	0	120	70
0	120	0	160	70
1	0	70	40	140
1	40	70	80	140
1	80	70	120	140
1	120	70	160	140
2	126	140	168	210
2	84	140	126	210
2	42	140	84	210
2	0	140	42	210
3	0	210	42	280
3	42	210	84	280
3	84	210	126	280
3	126	210	168	280
4	0	280	52	348
4	52	280	104	348
4	104	280	156	348
4	152	280	208	348
5	0	348	52	416
5	52	348	104	416
5	104	348	156	416
5	156	348	208	416
6	168	416	224	488
6	112	416	168	488
6	56	416	112	488
6	0	416	56	488
7	0	488	56	560
7	56	488	112	560
7	112	488	168	560
7	168	488	224	560





	
